Company,Name
hess corporation,hess corporation
fair isaac corporation,fair isaac corporation
"delta air lines, inc.","delta air lines, inc."
hormel foods corporation,hormel foods corporation
eastman chemical company,eastman chemical company
"fiserv, inc.","fiserv, inc."
"tyson foods, inc.","tyson foods, inc."
"nike, inc.","nike, inc."
snap-on incorporated,snap-on incorporated
atmos energy corporation,atmos energy corporation
csx corporation,csx corporation
nvidia corp.,nvidia corp
d.r. horton inc.,d.r. horton inc.
costco wholesale corp.,costco wholesale corp
amazon.com inc.,amazon.com inc
republic services inc.,republic services inc.
juniper networks inc.,juniper networks inc
chevron corporation,chevron corporation
exxon mobil corporation,exxon mobil corporation
iron mountain inc.,iron mountain inc.
pg&e corporation,pg&e corporation
"walgreens boots alliance, inc","walgreens boots alliance, inc"
campbell soup company,campbell soup company
union pacific corp.,union pacific corp.
xylem inc.,xylem inc
davita inc.,davita inc.
omnicom group inc.,omnicom group inc.
"pepsico, inc.","pepsico, inc."
caterpillar inc.,caterpillar inc.
sba communications corp.,sba communications corp
trimble inc.,trimble inc.
netflix inc,netflix inc
ball corporation,ball corporation
"cardinal health, inc.","cardinal health, inc."
dover corporation,dover corporation
public service enterprise group incorporated,public service enterprise group incorporated
"netapp, inc.","netapp, inc"
"hasbro, inc.","hasbro, inc."
occidental petroleum corporation,occidental petroleum corporation
phillips 66,phillips 66
quest diagnostics inc.,quest diagnostics inc.
paccar inc,paccar inc
"ppg industries, inc.","ppg industries, inc."
"stanley black & decker, inc.","stanley black & decker, inc."
nxp semiconductors n.v.,nxp semiconductors n.v.
lam research corp.,lam research corp
"qorvo, inc.","qorvo, inc."
steel dynamics inc.,steel dynamics inc
amphenol corporation,amphenol corporation
northrop grumman corp.,northrop grumman corp.
ross stores inc.,ross stores inc
centene corporation,centene corporation
live nation entertainment inc.,live nation entertainment inc.
"american electric power company, inc.","american electric power company, inc."
humana inc.,humana inc.
comcast corp.,comcast corp
dte energy company,dte energy company
"conagra brands, inc","conagra brands, inc."
fmc corporation,fmc corporation
cdw corporation,cdw corporation
southwest airlines co.,southwest airlines co.
devon energy corporation,devon energy corporation
ebay inc.,ebay inc
mckesson corporation,mckesson corporation
"mohawk industries, inc.","mohawk industries, inc."
"motorola solutions, inc.","motorola solutions, inc."
archer daniels midland company,archer daniels midland company
"conagra brands, inc.","conagra brands, inc."
pinnacle west capital corporation,pinnacle west capital corporation
"american water works company, inc.","american water works company, inc"
"micron technology, inc","micron technology, inc."
"oneok, inc.","oneok, inc."
teleflex incorporated,teleflex incorporated
intuit inc,intuit inc
accenture plc,accenture plc
jabil inc.,jabil inc.
"diamondback energy, inc.","diamondback energy, inc."
"wec energy group, inc.","wec energy group, inc."
nucor corporation,nucor corporation
"verisk analytics, inc.","verisk analytics, inc."
charles river laboratories international inc.,"charles river laboratories international, inc."
huntington ingalls industries inc.,"huntington ingalls industries, inc."
fidelity national information services inc.,"fidelity national information services, inc."
"freeport-mcmoran, inc",freeport-mcmoran inc.
o'reilly automotive inc.,"o'reilly automotive, inc."
thermo fisher scientific inc.,"thermo fisher scientific, inc."
verisk analytics inc,"verisk analytics, inc."
"texas instruments, incorporated",texas instruments incorporated
"live nation entertainment, inc.",live nation entertainment inc.
darden restaurants inc.,"darden restaurants, inc."
mohawk industries inc.,"mohawk industries, inc."
wec energy group inc,"wec energy group, inc."
diamondback energy inc,"diamondback energy, inc."
honeywell international inc.,"honeywell international, inc."
constellation brands inc.,"constellation brands, inc."
micron technology inc.,"micron technology, inc."
"juniper networks, inc.",juniper networks inc
builders firstsource inc.,"builders firstsource, inc."
walgreens boots alliance inc,"walgreens boots alliance, inc"
keysight technologies inc.,"keysight technologies, inc."
stanley black & decker inc.,"stanley black & decker, inc."
roper technologies inc.,"roper technologies, inc."
wec energy group inc.,"wec energy group, inc."
"republic services, inc.",republic services inc.
motorola solutions inc.,"motorola solutions, inc."
packaging corp. of america,packaging corp of america
o'reilly automotive inc,"o'reilly automotive, inc."
thermo fisher scientific inc.,"thermo fisher scientific, inc."
"republic services, inc",republic services inc.
rockwell automation inc.,"rockwell automation, inc."
honeywell international inc,"honeywell international, inc."
"juniper networks, inc.",juniper networks inc
general mills inc.,"general mills, inc."
"nextera energy, inc.","nextra energy, inc."
"borgwarner, inc.",borgwarner inc.
"iron mountain, inc",iron mountain inc.
"d.r. horton, inc.",d.r. horton inc.
cardinal health inc.,"cardinal health, inc."
analog devices inc.,"analog devices, inc."
xcel energy inc.,"xcel energy, inc."
tyson foods inc.,"tyson foods, inc."
"t-mobile usa, inc.","t-mobile us, inc."
global payments inc,"global payments, inc."
hca healthcare inc,"hca healthcare, inc."
"omnicom group, inc.",omnicom group inc.
ppg industries inc.,"ppg industries, inc."
nrg energy inc.,"nrg energy, inc."
"gilead sciences, inc.",gilead sciences inc
global payments inc.,"global payments, inc."
"amazon.com, inc.",amazon.com inc
xcel energy inc.,"xcel energy, inc."
"amazon.com, inc",amazon.com inc
"nextera energy, inc.","nextra energy, inc."
"d.r. horton, inc",d.r. horton inc.
yum! brands inc.,"yum! brands, inc."
cisco systems inc.,"cisco systems, inc."
"steel dynamics, inc.",steel dynamics inc
conagra brands inc.,"conagra brands, inc."
"dollar tree, inc.",dollar tree inc.
"steel dynamics, inc",steel dynamics inc
"gilead sciences, inc",gilead sciences inc
t-mobile us inc.,"t-mobile us, inc."
eog resources inc.,"eog resources, inc."
united rentals inc.,"united rentals, inc."
delta air lines inc.,"delta air lines, inc."
"cummins, inc.",cummins inc.
"netflix, inc.",netflix inc
textron inc.,"textron, inc."
pepsico inc.,"pepsico, inc."
autozone inc.,"autozone, inc."
"illumina, inc.",illumina inc
"hologic, inc.",hologic inc
textron inc,"textron, inc."
teradyne inc,"teradyne, inc."
"autodesk, inc.",autodesk inc
"interpublic group of companies, inc.","the interpublic group of companies, inc."
ecolab inc.,"ecolab, inc."
netapp inc.,"netapp, inc"
fiserv inc.,"fiserv, inc."
hasbro inc.,"hasbro, inc."
ecolab inc.,"ecolab, inc."
johnson controls international,johnson controls international plc
ncr corporation,nucor corporation
"d. r. horton, inc.",d.r. horton inc.
"ebay, inc.",ebay inc
nextera energy inc.,"nextra energy, inc."
msci inc.,"msci, inc."
nike inc.,"nike, inc."
american electric power co. inc.,"american electric power company, inc."
ptc inc.,"ptc, inc"
"air products and chemicals, inc.","air products & chemicals, inc."
martin marietta materials inc.,martin marietta materials
automatic data processing inc.,automatic data processing
nvr inc.,"nvr, inc."
advanced micro devices inc.,advanced micro devices
hewlett packard enterprise co.,hewlett packard enterprise company
vertex pharmaceuticals,vertex pharmaceuticals inc
sherwin-williams company,the sherwin-williams company
"american water works company,","american water works company, inc"
air products and chemicals inc.,"air products & chemicals, inc."
cadence design systems inc.,cadence design systems
